DATE,MEHOINUSA672N
1984-01-01,49335
1985-01-01,50258
1986-01-01,52068
1987-01-01,52690
1988-01-01,53124
1989-01-01,54042
1990-01-01,53350
1991-01-01,51791
1992-01-01,51390
1993-01-01,51116
1994-01-01,51710
1995-01-01,53330
1996-01-01,54105
1997-01-01,55218
1998-01-01,57248
1999-01-01,58665
2000-01-01,58544
2001-01-01,57246
2002-01-01,56599
2003-01-01,56528
2004-01-01,56332
2005-01-01,56935
2006-01-01,57379
2007-01-01,58149
2008-01-01,56076
2009-01-01,55683
2010-01-01,54245
2011-01-01,53401
2012-01-01,53331
2013-01-01,55214
2014-01-01,54398
2015-01-01,57230
2016-01-01,59039
